STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2005-02,27.4
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2005-03,27.5
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2005-05,
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2005-06,
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2006-02,26.9
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2006-08,27.3
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2007-04,27.5
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2007-12,26.5
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2008-04,27.4
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2008-08,27.3
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2009-09,28.1
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2011-01,26.8
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2011-05,28.4
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2011-09,28.3
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2012-03,27.4
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2012-09,28
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2014-08,27.1
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2014-10,27.9
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2015-02,27.4
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2015-08,27.7
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2015-09,27.9
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2015-10,27.9
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2016-01,27.8
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2016-03,27.9
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2016-08,28
IDM00096195,"SULTAN THAHA, ID",-1.638,103.644,25,2016-09,27.9
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1992-11,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1993-02,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1993-03,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1993-04,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1993-05,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1993-08,27
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1993-09,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1993-10,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1993-12,26
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-01,25.6
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-02,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-04,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-06,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-07,27.4
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-08,27.5
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-09,
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-10,26.7
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-11,27.2
IDM00096171,"JAPURA, ID",-0.353,102.335,18.9,1994-12,
