NAME,LATITUDE,LONGITUDE
"CACHOEIRA DA PORTEIRA I PCD, BR",-1.08,-57.05
"CARAMURI, BR",-4.23,-58.67
"CASTANHO, BR",-4.41,-58.13
"CURUAI, BR",-2.27,-55.48
"FAZENDA PARAMAZONAS, BR",-4.63,-57.9
"GUARIBA, BR",-3.23,-56.59
"JATOBA, BR",-5.15,-56.86
"JURUTI, BR",-2.15,-56.09
"KM 1326 BR 163, BR",-5.18,-56.06
"KM 1342 TRANSAMAZONICA, BR",-4.95,-56.88
"KM 1385 BR 163, BR",-4.75,-56.08
"MAUES, BR",-3.4,-57.72
"MOCAMBO, BR",-2.46,-57.28
"MUCAJA, BR",-3.9,-57.5
"NHAMUNDA, BR",-2.19,-56.71
"NITEROI TERRA PRETA II, BR",-4.75,-59.25
"NOVA OLINDA DO NORTE, BR",-3.88,-59.09
"ORIXIMINA, BR",-1.76,-55.86
"OSORIO FONSECA, BR",-3.82,-58.29
"PORTUGUES, BR",-1.87,-57.05
"SANTAREM AEROPORTO, BR",-2.433,-54.717
"URUCARA, BR",-2.54,-57.76
"VERA CRUZ, BR",-3.82,-57.18
"VILA CURUA, BR",-1.89,-55.12
"VISTA ALEGRE CONJ.2, BR",-1.13,-56.05
"CARRAZEDO, BR",-1.58,-51.92
"ALMEIRIM, BR",-1.53,-52.58
"CAJUEIRO, BR",-5.65,-54.52
"BELO HORIZONTE, BR",-5.41,-52.9
"ACAMPAMENTO IBDF, BR",-1.79,-51.43
"KARARAO, BR",-3.92,-52.88
"BRASIL NOVO, BR",-3.62,-52.54
"FAZENDA CIPAUBA, BR",-3.72,-51.57
"ALTAMIRA, BR",-3.2,-52.2
"GRANJA GAZELA, BR",-3.42,-51.26
"SITIO SAO PEDRO, BR",-3.89,-54.31
"URUARA, BR",-3.68,-53.55
"PRIMAVERA DO XINGU, BR",-6.05,-52.6
"CUPARI, BR",-4.18,-55.43
"FAZENDA MARCONDES, BR",-3.97,-54.64
"ITAPEUA DO PARA, BR",-1.75,-52.32
"MARACACUERA FLORESTAL, BR",-2.24,-51.18
"RUROPOLIS PRESIDENTE MEDICI, BR",-4.09,-54.9
"IRAPURU, BR",-2.45,-50.92
"ACANGATA, BR",-2.24,-50.63
"MONTE ALEGRE, BR",-4.67,-52.72
"PRAIA, BR",-4.81,-54.67
"UAICAS, BR",3.55,-63.17
"MALOCA DO ERICO, BR",3.63,-62.4
"SAN JUAN MANAPIARE, VE",5.23,-66.17
"MISSAO AUARIS, BR",4.0,-64.49
"TAMA TAMA, VE",3.15,-65.8
"ENTRE RIOS, VE",5.95,-64.43
"SANTA BARBARA ORINOCO, VE",3.93,-67.13
"SANTA MARIA GUAICAS, VE",2.8,-65.25
"SAN FERNANDO ATABAPO, VE",4.0,-67.67
"AMENADINA, VE",4.15,-63.75
"KAMARATA, VE",5.73,-62.33
"YEKUANA, VE",5.07,-65.22
"PIE DE SALTO, VE",6.3,-64.48
"MISSAO SURUCUCU PCD, BR",2.84,-63.64
