date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/03/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,487.5650635,246.0185852
1/04/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,451.8223267,289.7776489
1/05/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,213.9337311,113.4344406
1/06/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,287.5334167,171.9917755
1/07/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,200.8245392,81.41057587
1/08/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,146.9922028,122.940506
1/09/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,146.0287781,125.2001038
1/10/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,164.2319794,104.5881805
1/11/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,245.1403809,261.6249084
1/12/2009,"IQUITOS, PE",-3.783,-73.3,126,NA,347.9828491,360.1513672
1/01/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,273.3956604,193.0494385
1/02/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,205.8860931,149.3695221
1/03/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,299.4350281,282.985199
1/04/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,243.824173,123.9041748
1/05/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,162.224762,190.2461243
1/06/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,240.8300781,117.9217606
1/07/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,181.4108734,96.57917023
1/08/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,53.75400543,69.82958221
1/09/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,92.13289642,99.18696594
1/10/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,100.8213806,97.22763062
1/11/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,240.0305023,246.213028
1/12/2010,"IQUITOS, PE",-3.783,-73.3,126,NA,139.28685,180.8004456
1/01/2011,"IQUITOS, PE",-3.783,-73.3,126,NA,283.0036316,209.9076538
1/02/2011,"IQUITOS, PE",-3.783,-73.3,126,NA,114.8727646,207.8564453
1/03/2011,"IQUITOS, PE",-3.783,-73.3,126,NA,243.5184784,244.0516968
1/04/2011,"IQUITOS, PE",-3.783,-73.3,126,NA,279.2311096,297.684021
1/05/2011,"IQUITOS, PE",-3.783,-73.3,126,127.2,198.2188416,294.0814514
1/06/2011,"IQUITOS, PE",-3.783,-73.3,126,NA,272.039093,279.1317749
1/07/2011,"IQUITOS, PE",-3.783,-73.3,126,NA,146.2953644,209.0738983
1/08/2011,"IQUITOS, PE",-3.783,-73.3,126,NA,45.33872223,137.2765808
1/09/2011,"IQUITOS, PE",-3.783,-73.3,126,NA,218.6446838,250.0782928
