longitude,latitude,Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
117.8208333,5.01666667,1/11/2010,204.3,256.6697693,242.4721069
117.8208333,5.01666667,1/12/2010,343.7,270.5389404,304.3237305
117.8208333,5.01666667,1/01/2011,388,611.0939331,481.8601685
117.8208333,5.01666667,1/02/2011,290.5,463.8649597,477.6017456
117.8208333,5.01666667,1/03/2011,433.7,494.0090942,514.1346436
117.8208333,5.01666667,1/04/2011,437.5,303.1108704,363.5957336
117.8208333,5.01666667,1/05/2011,428.4,289.3512573,483.4385071
117.8208333,5.01666667,1/06/2011,254.1,224.4171295,234.0480042
117.8208333,5.01666667,1/07/2011,221.9,138.0576782,124.8987732
117.8208333,5.01666667,1/08/2011,212.4,239.3045197,190.3057098
117.8208333,5.01666667,1/09/2011,267.6,172.5173035,188.0520477
117.8208333,5.01666667,1/10/2011,256.2,184.196991,238.5584412
117.8208333,5.01666667,1/11/2011,398.8,236.1236725,231.3616943
117.8208333,5.01666667,1/12/2011,310.6,387.1949463,360.5228882
117.8208333,5.01666667,1/01/2012,194.8,380.6966248,338.923645
117.8208333,5.01666667,1/02/2012,215.3,315.612793,258.4092407
117.8208333,5.01666667,1/03/2012,443.7,351.354248,382.3788757
117.8208333,5.01666667,1/04/2012,341.3,300.9114685,237.8833313
117.8208333,5.01666667,1/05/2012,220,328.3401184,370.0975647
117.8208333,5.01666667,1/06/2012,121.23,115.895401,128.7786865
117.8208333,5.01666667,1/07/2012,247.7,283.4972534,226.0335693
117.8208333,5.01666667,1/08/2012,250.7,156.2479401,133.4174194
117.8208333,5.01666667,1/09/2012,285.93,273.7003784,368.0643005
117.8208333,5.01666667,1/10/2012,347.4,292.6853333,359.9141541
117.8208333,5.01666667,1/11/2012,223,384.3357239,339.3487854
117.8208333,5.01666667,1/12/2012,297.2,301.5763245,317.0046997
117.8208333,5.01666667,1/01/2013,368.9,498.3415833,365.2500916
117.8208333,5.01666667,1/02/2013,235.7,349.7818298,309.6298523
117.8208333,5.01666667,1/03/2013,76.5,118.1984711,148.2229004
117.8208333,5.01666667,1/04/2013,353.9,218.7188568,179.8308868
117.8208333,5.01666667,1/05/2013,230.3,159.4668121,204.5121765
117.8208333,5.01666667,1/06/2013,327.7,244.1999054,231.2080994
117.8208333,5.01666667,1/07/2013,425,165.2306061,132.3557739
117.8208333,5.01666667,1/08/2013,340.7,303.61026,264.1032715
117.8208333,5.01666667,1/09/2013,111.4,119.9558716,186.3236084
117.8208333,5.01666667,1/10/2013,223.1,263.51474,356.3953247
117.8208333,5.01666667,1/11/2013,264.3,290.7829895,301.3494263
117.8208333,5.01666667,1/12/2013,375.3,309.1857605,225.7147064
117.8208333,5.01666667,1/01/2014,253.9,489.730957,282.5521851
117.8208333,5.01666667,1/02/2014,124.4,286.2380676,167.8023987
117.8208333,5.01666667,1/03/2014,168.9,176.4208679,139.1539764
117.8208333,5.01666667,1/04/2014,234.8,166.8647614,188.3795013
117.8208333,5.01666667,1/05/2014,218.9,172.8268585,225.0184174
117.8208333,5.01666667,1/06/2014,257.3,170.9573975,157.1967773
117.8208333,5.01666667,1/07/2014,199.1,287.5877991,250.2652283
117.8208333,5.01666667,1/08/2014,326.6,215.0862122,167.7663727
117.8208333,5.01666667,1/09/2014,189.7,198.5929413,225.5252838
117.8208333,5.01666667,1/10/2014,240.4,293.639679,396.2765808
117.8208333,5.01666667,1/11/2014,309.5,163.3773804,217.8244476
117.8208333,5.01666667,1/12/2014,317.7,298.1084595,249.905304
