Date,NAME,LATITUDE,LONGITUDE,ELEVATION,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/08/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,158.4054871,155.2195892
1/09/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,208.2383728,176.7134247
1/10/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,187.3081055,167.5956421
1/11/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,221.5670929,172.8796844
1/12/2006,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,491.959259,408.065033
1/01/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,362.1549988,373.8890076
1/02/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,214.1901245,235.6107483
1/03/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,338.5,310.6900635,378.5204163
1/04/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,242.3,448.8338013,330.2922974
1/05/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,235.1439209,215.7364807
1/06/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,150.3638458,154.7533569
1/07/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,109.2939529,80.66001892
1/08/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,62.76252747,59.45275116
1/09/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,206.0742798,201.6783295
1/10/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,460.4790039,437.9284668
1/11/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,463.963623,416.1799622
1/12/2007,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,375.9757996,407.9002075
1/01/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,344.3082275,347.3914185
1/02/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,373.8384705,306.708374
1/03/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,283.4203796,292.4325562
1/04/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,218.7206573,234.9048462
1/05/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,360.1282959,352.5841064
1/06/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,152.3351593,167.8649902
1/07/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,121.323555,144.6083679
1/08/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,136.9929047,137.9515991
1/09/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,288.1221924,250.2990417
1/10/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,343.0132141,244.5578003
1/11/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,230.6455231,269.7168274
1/12/2008,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,298.9693298,229.3837128
1/01/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,584.4474487,503.7379761
1/02/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,344.0005188,360.0328369
1/03/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,405.8084717,419.5385132
1/04/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,220.2904968,306.7266541
1/05/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,169.2434845,220.598526
1/06/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,187.5710297,191.5105896
1/07/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,153.3993988,112.0311584
1/08/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,145.3370209,193.3012085
1/09/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,151.101532,136.3225708
1/10/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,237.171524,214.6264954
1/11/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,241.3778992,306.4304199
1/12/2009,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,376.3757629,302.4525452
1/01/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,306.3,395.0832825,387.6287231
1/02/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,241.2964325,299.6537781
1/03/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,303.4,349.8422546,346.1838379
1/04/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,456,299.6181641,264.0392151
1/05/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,148.3096313,161.0326843
1/06/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,187,244.0561523,196.725647
1/07/2010,"ALFREDO VASQUEZ COBO, CO",-4.193,-69.943,84.4,NA,205.5312805,141.697937
