STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2008,328.6,257.4423828,268.4688721
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2008,183.8,44.72813034,86.82197571
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2008,15,0.553864837,8.741184235
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2008,27.4,6.808337688,43.80722809
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2008,20.2,18.83889008,35.85760498
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2008,14.2,0.089999996,22.31193542
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2008,,1.439999938,12.62495613
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2008,47,12.69000053,20.50468063
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2008,10.6,3.302808285,55.8719635
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2008,269,288.4242859,252.8562927
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2009,319.8,249.7119141,478.5710449
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2009,174,152.9908447,273.9354248
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2009,333.6,213.1412354,269.0247803
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2009,147.8,41.93556976,96.43334198
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2009,102.4,11.88000011,40.24607086
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2009,20.6,0,36.91716766
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2009,21,1.259999871,27.59386635
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2009,8.2,1.572083712,23.55720329
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2009,0,0.031401172,6.75635004
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2009,1.4,1.237882376,4.263768196
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2009,6.8,1.226662517,5.77595377
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2009,161,99.96233368,112.3066711
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2010,930.4,503.1943359,716.9269409
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2010,422.4,361.1843567,384.2893677
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2010,442.4,368.5982666,305.5440369
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2010,476.4,331.3348389,342.8140869
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2010,58.2,0,19.01403809
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2010,51,0,52.31095886
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2010,116.2,20.69999886,76.53521729
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2010,30.8,32.75999832,83.02212524
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/09/2010,26,1.079999924,17.76511955
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/10/2010,90.8,22.04999924,17.06559372
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/11/2010,254.4,199.2599945,228.0779114
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/12/2010,292.2,242.7945404,309.7095032
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/01/2011,322.8,339.1500854,486.6408691
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/02/2011,798.6,550.7675171,540.2903442
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/03/2011,576.4,490.4319763,483.940979
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/04/2011,539.7,349.157135,267.2079773
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/05/2011,27,2.25,17.76974106
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/06/2011,7.8,3.541573048,31.77671242
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/07/2011,30,7.268239975,38.09347534
ASN00028008,"LOCKHART RIVER AIRPORT, AS",-12.785,143.3047,18.5,1/08/2011,8.6,7.288222313,21.22958565
