Date,PRCP_GHCN,PRCP_TRMM,PRCP_CHIRPS
1/06/2015,76,105.9311676,81.15262604
1/07/2015,47,54.48568726,57.02011871
1/08/2015,11,22.78393745,26.02582932
1/09/2015,16,5.93999958,17.58650589
1/10/2015,31,51.39894104,33.8269577
1/11/2015,91,111.9684067,127.8823166
1/12/2015,126,104.0984802,130.664444
1/01/2016,130,111.4403305,145.7692719
1/02/2016,235,278.0096436,249.8522034
1/03/2016,282,279.9605408,343.5882263
1/04/2016,304,277.7271118,306.4633789
1/05/2016,118,118.4244461,183.0972443
1/06/2016,97,63.73788452,96.74336243
1/07/2016,103,77.78882599,95.18268585
1/08/2016,50,53.20910263,59.83426666
1/09/2016,,102.3525238,115.7320099
1/10/2016,152,95.65323639,142.8660736
1/11/2016,,105.1529083,217.8190308
1/12/2016,,339.7877808,460.6409912
